Array Size, Insertion Sort, Merge Sort, Shell Sort, Bubble Sort, Selection Sort, Quick Sort, HeapSort
10000, 30, 2, 3, 53, 21, 1, 1
20000, 85, 10, 2, 264, 70, 1, 2
30000, 164, 5, 2, 706, 137, 1, 3
40000, 298, 9, 3, 1343, 260, 2, 3
50000, 451, 5, 4, 2198, 408, 3, 3
60000, 651, 8, 5, 3226, 592, 3, 5
70000, 825, 6, 5, 4242, 680, 3, 5
80000, 1155, 10, 7, 5815, 896, 4, 6
90000, 1484, 8, 8, 7448, 1148, 5, 7
100000, 1825, 12, 8, 9198, 1400, 5, 7
110000, 2191, 16, 9, 11160, 1710, 6, 8
120000, 2601, 17, 11, 13581, 2049, 7, 9
130000, 3090, 18, 12, 15671, 2384, 7, 10
140000, 3555, 20, 12, 18237, 2762, 8, 11
150000, 4073, 22, 13, 21578, 3281, 8, 12
160000, 4838, 23, 16, 24817, 3655, 10, 12
170000, 5419, 25, 17, 28030, 4127, 10, 14
180000, 6081, 27, 18, 31607, 4770, 11, 14
190000, 6858, 34, 18, 35550, 4977, 11, 15
200000, 7358, 28, 18, 38234, 5766, 11, 17
